v1: 28, v2: 29, acc: 55.88235294117647
v1: 28, v2: 30, acc: 50.98039215686274
v1: 28, v2: 31, acc: 50.98039215686274
v1: 27, v2: 10, acc: 45.09803921568628
v1: 27, v2: 11, acc: 52.94117647058823
v1: 27, v2: 12, acc: 50.0
v1: 27, v2: 13, acc: 50.0
v1: 27, v2: 14, acc: 55.88235294117647
v1: 27, v2: 15, acc: 46.07843137254902
v1: 27, v2: 16, acc: 58.8235294117647
v1: 27, v2: 17, acc: 44.11764705882353
v1: 27, v2: 18, acc: 54.90196078431372
v1: 27, v2: 19, acc: 58.8235294117647
v1: 27, v2: 20, acc: 52.94117647058823
v1: 27, v2: 21, acc: 54.90196078431372
v1: 27, v2: 22, acc: 45.09803921568628
v1: 27, v2: 23, acc: 50.98039215686274
v1: 27, v2: 24, acc: 46.07843137254902
v1: 27, v2: 25, acc: 54.90196078431372
v1: 27, v2: 26, acc: 51.96078431372549
v1: 27, v2: 27, acc: 50.98039215686274
v1: 27, v2: 28, acc: 53.92156862745098
v1: 27, v2: 29, acc: 43.13725490196079
v1: 27, v2: 30, acc: 50.98039215686274
v1: 27, v2: 31, acc: 49.01960784313726
v1: 26, v2: 10, acc: 60.78431372549019
v1: 26, v2: 11, acc: 48.03921568627451
v1: 26, v2: 12, acc: 50.0
v1: 26, v2: 13, acc: 46.07843137254902
v1: 26, v2: 14, acc: 64.70588235294117
v1: 26, v2: 15, acc: 57.84313725490196
v1: 26, v2: 16, acc: 49.01960784313726
v1: 26, v2: 17, acc: 56.86274509803921
v1: 26, v2: 18, acc: 58.8235294117647
v1: 26, v2: 19, acc: 53.92156862745098
v1: 26, v2: 20, acc: 49.01960784313726
v1: 26, v2: 21, acc: 52.94117647058823
v1: 26, v2: 22, acc: 48.03921568627451
v1: 26, v2: 23, acc: 49.01960784313726
v1: 26, v2: 24, acc: 48.03921568627451
v1: 26, v2: 25, acc: 51.96078431372549
v1: 26, v2: 26, acc: 51.96078431372549
v1: 26, v2: 27, acc: 46.07843137254902
v1: 26, v2: 28, acc: 51.96078431372549
v1: 26, v2: 29, acc: 55.88235294117647
v1: 26, v2: 30, acc: 50.98039215686274
v1: 26, v2: 31, acc: 52.94117647058823
v1: 25, v2: 10, acc: 50.0
v1: 25, v2: 11, acc: 51.96078431372549
v1: 25, v2: 12, acc: 47.05882352941177
v1: 25, v2: 13, acc: 53.92156862745098
v1: 25, v2: 14, acc: 55.88235294117647
v1: 25, v2: 15, acc: 46.07843137254902
v1: 25, v2: 16, acc: 44.11764705882353
v1: 25, v2: 17, acc: 57.84313725490196
v1: 25, v2: 18, acc: 44.11764705882353
v1: 25, v2: 19, acc: 49.01960784313726
v1: 25, v2: 20, acc: 48.03921568627451
v1: 25, v2: 21, acc: 45.09803921568628
v1: 25, v2: 22, acc: 59.80392156862745
v1: 25, v2: 23, acc: 51.96078431372549
v1: 25, v2: 24, acc: 43.13725490196079
v1: 25, v2: 25, acc: 52.94117647058823
v1: 25, v2: 26, acc: 51.96078431372549
v1: 25, v2: 27, acc: 53.92156862745098
v1: 25, v2: 28, acc: 50.0
v1: 25, v2: 29, acc: 57.84313725490196
v1: 25, v2: 30, acc: 50.0
v1: 25, v2: 31, acc: 53.92156862745098
v1: 24, v2: 10, acc: 48.03921568627451
v1: 24, v2: 11, acc: 55.88235294117647
v1: 24, v2: 12, acc: 47.05882352941177
v1: 24, v2: 13, acc: 53.92156862745098
v1: 24, v2: 14, acc: 47.05882352941177
v1: 24, v2: 15, acc: 50.98039215686274
v1: 24, v2: 16, acc: 49.01960784313726
v1: 24, v2: 17, acc: 48.03921568627451
v1: 24, v2: 18, acc: 54.90196078431372
v1: 24, v2: 19, acc: 48.03921568627451
v1: 24, v2: 20, acc: 55.88235294117647
v1: 24, v2: 21, acc: 46.07843137254902
v1: 24, v2: 22, acc: 51.96078431372549
v1: 24, v2: 23, acc: 59.80392156862745
v1: 24, v2: 24, acc: 56.86274509803921
v1: 24, v2: 25, acc: 46.07843137254902
v1: 24, v2: 26, acc: 52.94117647058823
v1: 24, v2: 27, acc: 48.03921568627451
v1: 24, v2: 28, acc: 58.8235294117647
v1: 24, v2: 29, acc: 44.11764705882353
v1: 24, v2: 30, acc: 53.92156862745098
v1: 24, v2: 31, acc: 51.96078431372549
v1: 23, v2: 10, acc: 52.94117647058823
v1: 23, v2: 11, acc: 48.03921568627451
v1: 23, v2: 12, acc: 52.94117647058823
v1: 23, v2: 13, acc: 52.94117647058823
v1: 23, v2: 14, acc: 49.01960784313726
v1: 23, v2: 15, acc: 57.84313725490196
v1: 23, v2: 16, acc: 50.98039215686274
v1: 23, v2: 17, acc: 52.94117647058823
v1: 23, v2: 18, acc: 44.11764705882353
v1: 23, v2: 19, acc: 50.0
v1: 23, v2: 20, acc: 60.78431372549019
v1: 23, v2: 21, acc: 49.01960784313726
v1: 23, v2: 22, acc: 50.0
v1: 23, v2: 23, acc: 47.05882352941177
v1: 23, v2: 24, acc: 57.84313725490196
v1: 23, v2: 25, acc: 51.96078431372549
v1: 23, v2: 26, acc: 52.94117647058823
v1: 23, v2: 27, acc: 43.13725490196079
v1: 23, v2: 28, acc: 50.98039215686274
v1: 23, v2: 29, acc: 45.09803921568628
v1: 23, v2: 30, acc: 57.84313725490196
v1: 23, v2: 31, acc: 56.86274509803921
v1: 22, v2: 10, acc: 47.05882352941177
v1: 22, v2: 11, acc: 46.07843137254902
v1: 22, v2: 12, acc: 51.96078431372549
v1: 22, v2: 13, acc: 52.94117647058823
v1: 22, v2: 14, acc: 50.98039215686274
v1: 22, v2: 15, acc: 57.84313725490196
v1: 22, v2: 16, acc: 51.96078431372549
v1: 22, v2: 17, acc: 47.05882352941177
v1: 22, v2: 18, acc: 55.88235294117647
v1: 22, v2: 19, acc: 53.92156862745098
v1: 22, v2: 20, acc: 55.88235294117647
v1: 22, v2: 21, acc: 53.92156862745098
v1: 22, v2: 22, acc: 47.05882352941177
v1: 22, v2: 23, acc: 43.13725490196079
v1: 22, v2: 24, acc: 54.90196078431372
v1: 22, v2: 25, acc: 53.92156862745098
v1: 22, v2: 26, acc: 49.01960784313726
v1: 22, v2: 27, acc: 50.98039215686274
v1: 22, v2: 28, acc: 55.88235294117647
v1: 22, v2: 29, acc: 52.94117647058823
v1: 22, v2: 30, acc: 59.80392156862745
v1: 22, v2: 31, acc: 48.03921568627451
v1: 21, v2: 10, acc: 51.96078431372549
v1: 21, v2: 11, acc: 51.96078431372549
v1: 21, v2: 12, acc: 46.07843137254902
v1: 21, v2: 13, acc: 52.94117647058823
v1: 21, v2: 14, acc: 56.86274509803921
v1: 21, v2: 15, acc: 51.96078431372549
v1: 21, v2: 16, acc: 55.88235294117647
v1: 21, v2: 17, acc: 37.254901960784316
v1: 21, v2: 18, acc: 54.90196078431372
v1: 21, v2: 19, acc: 49.01960784313726
v1: 21, v2: 20, acc: 46.07843137254902
v1: 21, v2: 21, acc: 57.84313725490196
v1: 21, v2: 22, acc: 53.92156862745098
v1: 21, v2: 23, acc: 54.90196078431372
v1: 21, v2: 24, acc: 58.8235294117647
v1: 21, v2: 25, acc: 49.01960784313726
v1: 21, v2: 26, acc: 56.86274509803921
v1: 21, v2: 27, acc: 53.92156862745098
v1: 21, v2: 28, acc: 51.96078431372549
v1: 21, v2: 29, acc: 43.13725490196079
v1: 21, v2: 30, acc: 49.01960784313726
v1: 21, v2: 31, acc: 44.11764705882353
v1: 20, v2: 10, acc: 53.92156862745098
v1: 20, v2: 11, acc: 48.03921568627451
v1: 20, v2: 12, acc: 51.96078431372549
v1: 20, v2: 13, acc: 46.07843137254902
v1: 20, v2: 14, acc: 52.94117647058823
v1: 20, v2: 15, acc: 53.92156862745098
v1: 20, v2: 16, acc: 48.03921568627451
v1: 20, v2: 17, acc: 45.09803921568628
v1: 20, v2: 18, acc: 56.86274509803921
v1: 20, v2: 19, acc: 49.01960784313726
v1: 20, v2: 20, acc: 52.94117647058823
v1: 20, v2: 21, acc: 51.96078431372549
v1: 20, v2: 22, acc: 58.8235294117647
v1: 20, v2: 23, acc: 42.15686274509804
v1: 20, v2: 24, acc: 57.84313725490196
v1: 20, v2: 25, acc: 49.01960784313726
v1: 20, v2: 26, acc: 48.03921568627451
v1: 20, v2: 27, acc: 57.84313725490196
v1: 20, v2: 28, acc: 50.98039215686274
v1: 20, v2: 29, acc: 55.88235294117647
v1: 20, v2: 30, acc: 51.96078431372549
v1: 20, v2: 31, acc: 60.78431372549019
v1: 19, v2: 10, acc: 64.70588235294117
v1: 19, v2: 11, acc: 42.15686274509804
v1: 19, v2: 12, acc: 53.92156862745098
v1: 19, v2: 13, acc: 54.90196078431372
v1: 19, v2: 14, acc: 53.92156862745098
v1: 19, v2: 15, acc: 51.96078431372549
v1: 19, v2: 16, acc: 49.01960784313726
v1: 19, v2: 17, acc: 56.86274509803921
v1: 19, v2: 18, acc: 48.03921568627451
v1: 19, v2: 19, acc: 51.96078431372549
v1: 19, v2: 20, acc: 46.07843137254902
v1: 19, v2: 21, acc: 50.98039215686274
v1: 19, v2: 22, acc: 54.90196078431372
v1: 19, v2: 23, acc: 54.90196078431372
v1: 19, v2: 24, acc: 53.92156862745098
v1: 19, v2: 25, acc: 51.96078431372549
v1: 19, v2: 26, acc: 57.84313725490196
v1: 19, v2: 27, acc: 53.92156862745098
v1: 19, v2: 28, acc: 49.01960784313726
v1: 19, v2: 29, acc: 54.90196078431372
v1: 19, v2: 30, acc: 47.05882352941177
v1: 19, v2: 31, acc: 46.07843137254902
v1: 18, v2: 10, acc: 50.98039215686274
v1: 18, v2: 11, acc: 57.84313725490196
v1: 18, v2: 12, acc: 60.78431372549019
v1: 18, v2: 13, acc: 53.92156862745098
v1: 18, v2: 14, acc: 48.03921568627451
v1: 18, v2: 15, acc: 55.88235294117647
v1: 18, v2: 16, acc: 46.07843137254902
v1: 18, v2: 17, acc: 50.98039215686274
v1: 18, v2: 18, acc: 50.0
v1: 18, v2: 19, acc: 50.0
v1: 18, v2: 20, acc: 50.98039215686274
v1: 18, v2: 21, acc: 57.84313725490196
v1: 18, v2: 22, acc: 56.86274509803921
v1: 18, v2: 23, acc: 50.0
v1: 18, v2: 24, acc: 51.96078431372549
v1: 18, v2: 25, acc: 52.94117647058823
v1: 18, v2: 26, acc: 55.88235294117647
v1: 18, v2: 27, acc: 47.05882352941177
v1: 18, v2: 28, acc: 55.88235294117647
v1: 18, v2: 29, acc: 52.94117647058823
v1: 18, v2: 30, acc: 50.98039215686274
v1: 18, v2: 31, acc: 56.86274509803921
v1: 17, v2: 10, acc: 50.0
v1: 17, v2: 11, acc: 45.09803921568628
v1: 17, v2: 12, acc: 47.05882352941177
v1: 17, v2: 13, acc: 53.92156862745098
v1: 17, v2: 14, acc: 55.88235294117647
v1: 17, v2: 15, acc: 50.0
v1: 17, v2: 16, acc: 48.03921568627451
v1: 17, v2: 17, acc: 53.92156862745098
v1: 17, v2: 18, acc: 50.0
v1: 17, v2: 19, acc: 53.92156862745098
v1: 17, v2: 20, acc: 51.96078431372549
v1: 17, v2: 21, acc: 57.84313725490196
v1: 17, v2: 22, acc: 48.03921568627451
v1: 17, v2: 23, acc: 49.01960784313726
v1: 17, v2: 24, acc: 45.09803921568628
v1: 17, v2: 25, acc: 51.96078431372549
v1: 17, v2: 26, acc: 46.07843137254902
v1: 17, v2: 27, acc: 52.94117647058823
v1: 17, v2: 28, acc: 53.92156862745098
v1: 17, v2: 29, acc: 44.11764705882353
v1: 17, v2: 30, acc: 51.96078431372549
v1: 17, v2: 31, acc: 55.88235294117647
v1: 16, v2: 10, acc: 49.01960784313726
v1: 16, v2: 11, acc: 48.03921568627451
v1: 16, v2: 12, acc: 52.94117647058823
v1: 16, v2: 13, acc: 53.92156862745098
v1: 16, v2: 14, acc: 53.92156862745098
v1: 16, v2: 15, acc: 49.01960784313726
v1: 16, v2: 16, acc: 48.03921568627451
v1: 16, v2: 17, acc: 50.0
v1: 16, v2: 18, acc: 58.8235294117647
v1: 16, v2: 19, acc: 53.92156862745098
v1: 16, v2: 20, acc: 50.0
v1: 16, v2: 21, acc: 50.0
v1: 16, v2: 22, acc: 52.94117647058823
v1: 16, v2: 23, acc: 52.94117647058823
v1: 16, v2: 24, acc: 50.0
v1: 16, v2: 25, acc: 50.98039215686274
v1: 16, v2: 26, acc: 49.01960784313726
v1: 16, v2: 27, acc: 49.01960784313726
v1: 16, v2: 28, acc: 57.84313725490196
v1: 16, v2: 29, acc: 43.13725490196079
v1: 16, v2: 30, acc: 54.90196078431372
v1: 16, v2: 31, acc: 50.98039215686274
v1: 15, v2: 10, acc: 50.0
v1: 15, v2: 11, acc: 49.01960784313726
v1: 15, v2: 12, acc: 51.96078431372549
v1: 15, v2: 13, acc: 56.86274509803921
v1: 15, v2: 14, acc: 61.76470588235294
v1: 15, v2: 15, acc: 50.0
v1: 15, v2: 16, acc: 50.0
v1: 15, v2: 17, acc: 51.96078431372549
v1: 15, v2: 18, acc: 52.94117647058823
v1: 15, v2: 19, acc: 55.88235294117647
v1: 15, v2: 20, acc: 55.88235294117647
v1: 15, v2: 21, acc: 50.0
v1: 15, v2: 22, acc: 46.07843137254902
v1: 15, v2: 23, acc: 54.90196078431372
v1: 15, v2: 24, acc: 45.09803921568628
v1: 15, v2: 25, acc: 53.92156862745098
v1: 15, v2: 26, acc: 56.86274509803921
v1: 15, v2: 27, acc: 45.09803921568628
v1: 15, v2: 28, acc: 55.88235294117647
v1: 15, v2: 29, acc: 53.92156862745098
v1: 15, v2: 30, acc: 54.90196078431372
v1: 15, v2: 31, acc: 45.09803921568628
v1: 14, v2: 10, acc: 61.76470588235294
v1: 14, v2: 11, acc: 58.8235294117647
v1: 14, v2: 12, acc: 49.01960784313726
v1: 14, v2: 13, acc: 53.92156862745098
v1: 14, v2: 14, acc: 46.07843137254902
v1: 14, v2: 15, acc: 41.1764705882353
v1: 14, v2: 16, acc: 53.92156862745098
v1: 14, v2: 17, acc: 48.03921568627451
v1: 14, v2: 18, acc: 54.90196078431372
v1: 14, v2: 19, acc: 54.90196078431372
v1: 14, v2: 20, acc: 51.96078431372549
v1: 14, v2: 21, acc: 51.96078431372549
v1: 14, v2: 22, acc: 48.03921568627451
v1: 14, v2: 23, acc: 48.03921568627451
v1: 14, v2: 24, acc: 48.03921568627451
v1: 14, v2: 25, acc: 47.05882352941177
v1: 14, v2: 26, acc: 58.8235294117647
v1: 14, v2: 27, acc: 46.07843137254902
v1: 14, v2: 28, acc: 52.94117647058823
v1: 14, v2: 29, acc: 50.98039215686274
v1: 14, v2: 30, acc: 47.05882352941177
v1: 14, v2: 31, acc: 57.84313725490196
v1: 13, v2: 10, acc: 57.84313725490196
v1: 13, v2: 11, acc: 55.88235294117647
v1: 13, v2: 12, acc: 56.86274509803921
v1: 13, v2: 13, acc: 53.92156862745098
v1: 13, v2: 14, acc: 47.05882352941177
v1: 13, v2: 15, acc: 49.01960784313726
v1: 13, v2: 16, acc: 48.03921568627451
v1: 13, v2: 17, acc: 51.96078431372549
v1: 13, v2: 18, acc: 52.94117647058823
v1: 13, v2: 19, acc: 53.92156862745098
v1: 13, v2: 20, acc: 54.90196078431372
v1: 13, v2: 21, acc: 50.0
v1: 13, v2: 22, acc: 57.84313725490196
v1: 13, v2: 23, acc: 49.01960784313726
v1: 13, v2: 24, acc: 59.80392156862745
v1: 13, v2: 25, acc: 49.01960784313726
v1: 13, v2: 26, acc: 54.90196078431372
v1: 13, v2: 27, acc: 50.0
v1: 13, v2: 28, acc: 52.94117647058823
v1: 13, v2: 29, acc: 51.96078431372549
v1: 13, v2: 30, acc: 43.13725490196079
v1: 13, v2: 31, acc: 50.98039215686274
v1: 12, v2: 10, acc: 49.01960784313726
v1: 12, v2: 11, acc: 46.07843137254902
v1: 12, v2: 12, acc: 51.96078431372549
v1: 12, v2: 13, acc: 45.09803921568628
v1: 12, v2: 14, acc: 47.05882352941177
v1: 12, v2: 15, acc: 51.96078431372549
v1: 12, v2: 16, acc: 45.09803921568628
v1: 12, v2: 17, acc: 45.09803921568628
v1: 12, v2: 18, acc: 42.15686274509804
v1: 12, v2: 19, acc: 47.05882352941177
v1: 12, v2: 20, acc: 47.05882352941177
v1: 12, v2: 21, acc: 43.13725490196079
v1: 12, v2: 22, acc: 50.98039215686274
v1: 12, v2: 23, acc: 55.88235294117647
v1: 12, v2: 24, acc: 54.90196078431372
v1: 12, v2: 25, acc: 51.96078431372549
v1: 12, v2: 26, acc: 50.98039215686274
v1: 12, v2: 27, acc: 57.84313725490196
v1: 12, v2: 28, acc: 48.03921568627451
v1: 12, v2: 29, acc: 55.88235294117647
v1: 12, v2: 30, acc: 47.05882352941177
v1: 12, v2: 31, acc: 49.01960784313726
v1: 11, v2: 10, acc: 51.96078431372549
v1: 11, v2: 11, acc: 48.03921568627451
v1: 11, v2: 12, acc: 44.11764705882353
v1: 11, v2: 13, acc: 57.84313725490196
v1: 11, v2: 14, acc: 55.88235294117647
v1: 11, v2: 15, acc: 54.90196078431372
v1: 11, v2: 16, acc: 62.745098039215684
v1: 11, v2: 17, acc: 50.0
v1: 11, v2: 18, acc: 48.03921568627451
v1: 11, v2: 19, acc: 43.13725490196079
v1: 11, v2: 20, acc: 50.98039215686274
v1: 11, v2: 21, acc: 45.09803921568628
v1: 11, v2: 22, acc: 44.11764705882353
v1: 11, v2: 23, acc: 50.98039215686274
v1: 11, v2: 24, acc: 60.78431372549019
v1: 11, v2: 25, acc: 59.80392156862745
v1: 11, v2: 26, acc: 50.98039215686274
v1: 11, v2: 27, acc: 50.98039215686274
v1: 11, v2: 28, acc: 46.07843137254902
v1: 11, v2: 29, acc: 51.96078431372549
v1: 11, v2: 30, acc: 46.07843137254902
v1: 11, v2: 31, acc: 55.88235294117647
